Project #,Phase,Estimating ID,Block ID,Sample,Type,Orientation,Ornament,Page Label,Space,Comments,Layer,Checkmark,# Units
,Base Bid,,,,,,None,NORTH AND SOUTH,S-8,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-2,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-3,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-7,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-9,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-10,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,S-3,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,WEST AND EAST,W-3,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,WEST AND EAST,W-5,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,WEST AND EAST,W-1,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,WEST AND EAST,W-7,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,WEST AND EAST,E-1,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,WEST AND EAST,E-5,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,WEST AND EAST,E-6,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,WEST AND EAST,E-2,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,WEST AND EAST,E-3,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,WEST AND EAST,W-2,H7,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-5,H8L,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-5,H8R,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-5,H9L,Block Tags,Unchecked,1
,Base Bid,,,,,,None,NORTH AND SOUTH,N-5,H9R,Block Tags,Unchecked,1
